"","predict"
"1",1
"2",1
"3",0
"4",1
"5",1
"6",0
"7",1
"8",0
"9",1
"10",1
"11",0
"12",1
"13",0
"14",0
"15",0
"16",1
"17",1
"18",0
"19",1
"20",1
"21",1
"22",0
"23",1
"24",1
"25",1
"26",1
"27",0
"28",0
"29",1
"30",1
"31",0
"32",0
"33",1
"34",0
"35",1
"36",1
"37",0
"38",1
"39",0
"40",1
"41",1
"42",0
"43",0
"44",1
"45",0
"46",1
"47",0
"48",0
"49",0
"50",1
"51",0
"52",0
"53",1
"54",1
"55",1
"56",0
"57",1
"58",1
"59",0
"60",0
"61",1
"62",1
"63",1
"64",1
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",1
"75",0
"76",1
"77",0
"78",0
"79",0
"80",1
"81",1
"82",0
"83",1
"84",0
"85",1
"86",1
"87",0
"88",0
"89",0
"90",1
"91",0
"92",0
"93",0
"94",1
"95",1
"96",0
"97",1
"98",1
"99",0
"100",0
"101",1
"102",1
"103",1
"104",0
"105",0
"106",1
"107",1
"108",0
"109",1
"110",0
"111",1
"112",1
"113",0
"114",1
"115",1
"116",0
"117",1
"118",1
"119",0
"120",1
"121",1
"122",0
"123",0
"124",0
"125",1
"126",0
"127",0
"128",0
"129",1
"130",0
"131",0
"132",1
"133",1
"134",1
"135",1
"136",1
"137",0
"138",1
"139",0
"140",1
"141",1
"142",1
"143",1
"144",0
"145",1
"146",1
"147",1
"148",0
"149",1
"150",1
"151",1
"152",1
"153",0
"154",0
"155",1
"156",0
"157",0
"158",0
"159",1
"160",0
"161",1
"162",1
"163",0
"164",0
"165",0
"166",1
"167",1
"168",0
"169",1
"170",1
"171",0
"172",1
"173",1
"174",0
"175",0
"176",0
"177",0
"178",0
"179",1
"180",1
"181",1
"182",1
"183",0
"184",0
"185",0
"186",1
"187",1
"188",1
"189",0
"190",1
"191",0
"192",1
"193",1
"194",1
"195",1
"196",0
"197",1
"198",0
"199",0
"200",1
"201",0
"202",1
"203",1
"204",0
"205",1
"206",0
"207",0
"208",1
"209",0
"210",1
"211",0
"212",0
"213",0
"214",0
"215",1
"216",0
"217",1
"218",0
"219",0
"220",1
"221",0
"222",0
"223",1
"224",1
"225",0
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",0
"233",0
"234",1
"235",1
"236",0
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",0
"246",1
"247",0
"248",1
"249",0
"250",1
"251",0
"252",1
"253",0
"254",0
"255",1
"256",1
"257",1
"258",1
"259",0
"260",1
"261",0
"262",1
"263",0
"264",0
"265",0
"266",0
"267",0
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",0
"275",1
"276",0
"277",1
"278",1
"279",1
"280",0
"281",0
"282",0
"283",1
"284",1
"285",1
"286",1
"287",1
"288",0
"289",1
"290",1
"291",1
"292",0
"293",1
"294",1
"295",1
"296",1
"297",1
"298",0
"299",1
"300",1
"301",0
"302",0
"303",1
"304",0
"305",1
"306",1
"307",0
"308",0
"309",1
"310",0
"311",1
"312",1
"313",0
"314",1
"315",1
"316",0
"317",1
"318",1
"319",1
"320",0
"321",1
"322",1
"323",1
"324",0
"325",0
"326",1
"327",0
"328",0
"329",0
"330",1
"331",0
"332",1
"333",1
"334",0
"335",1
"336",1
"337",1
"338",1
"339",1
"340",1
"341",0
"342",0
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",0
"351",0
"352",1
"353",0
"354",0
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",0
"362",1
"363",1
"364",0
"365",1
"366",0
"367",0
"368",1
"369",0
"370",1
"371",0
"372",1
"373",1
"374",1
"375",0
"376",0
"377",0
"378",1
"379",1
"380",1
"381",1
"382",0
"383",1
"384",1
"385",0
"386",0
"387",0
"388",1
"389",1
"390",1
"391",1
"392",1
"393",0
"394",1
"395",0
"396",1
"397",0
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",0
"409",0
"410",1
"411",1
"412",1
"413",0
"414",1
"415",0
"416",0
"417",1
"418",1
"419",1
"420",1
"421",1
"422",1
"423",1
"424",0
"425",1
"426",0
"427",1
"428",0
"429",0
"430",0
"431",1
"432",1
"433",0
"434",1
"435",0
"436",1
"437",1
"438",1
"439",1
"440",0
"441",1
"442",1
"443",0
"444",1
"445",1
"446",0
"447",1
"448",1
"449",0
"450",1
"451",0
"452",0
"453",1
"454",0
"455",1
"456",1
"457",1
"458",0
"459",1
"460",0
"461",1
"462",1
"463",0
"464",0
"465",1
"466",1
"467",1
"468",1
"469",0
"470",0
"471",1
"472",1
"473",0
"474",1
"475",0
"476",1
"477",1
"478",1
"479",1
"480",0
"481",1
